fdust,ufdust,ozone,nd,cm,sagas
0.14746543778801843,0.018274111675126905,0.20833333333333331,0.3146067415730337,0.3333333333333333,0.33333333333333337
0.23963133640552994,0.0233502538071066,0.18055555555555552,0.3146067415730337,0.4666666666666666,0.2666666666666667
0.22580645161290322,0.024365482233502538,0.15277777777777776,0.348314606741573,0.39999999999999997,0.33333333333333337
0.15668202764976957,0.022335025380710662,0.13888888888888887,0.37078651685393255,0.39999999999999997,0.4
0.17050691244239632,0.021319796954314723,0.1111111111111111,0.4157303370786517,0.4666666666666666,0.33333333333333337
0.17972350230414746,0.021319796954314723,0.13888888888888887,0.4044943820224719,0.39999999999999997,0.33333333333333337
0.17511520737327188,0.0233502538071066,0.1111111111111111,0.4044943820224719,0.3333333333333333,0.5333333333333334
0.18433179723502305,0.019289340101522844,0.16666666666666666,0.39325842696629215,0.3333333333333333,0.33333333333333337
0.21658986175115208,0.024365482233502538,0.13888888888888887,0.3370786516853932,0.4666666666666666,0.4666666666666667
0.21658986175115208,0.028426395939086295,0.1111111111111111,0.28089887640449435,0.39999999999999997,0.4666666666666667
0.0,0.013197969543147208,0.16666666666666666,0.4044943820224719,0.4666666666666666,0.2666666666666667
0.1935483870967742,0.021319796954314723,0.16666666666666666,0.38202247191011235,0.5333333333333333,0.4666666666666667
0.22119815668202764,0.024365482233502538,0.13888888888888887,0.4269662921348314,0.4666666666666666,0.33333333333333337
0.17511520737327188,0.018274111675126905,0.25,0.2921348314606741,0.39999999999999997,0.2666666666666667
0.20276497695852536,0.022335025380710662,0.2222222222222222,0.32584269662921345,0.39999999999999997,0.4
0.19815668202764977,0.019289340101522844,0.13888888888888887,0.449438202247191,0.4666666666666666,0.4666666666666667
0.2119815668202765,0.020304568527918784,0.18055555555555552,0.348314606741573,0.39999999999999997,0.4
0.22119815668202764,0.022335025380710662,0.13888888888888887,0.4044943820224719,0.4666666666666666,0.4666666666666667
0.21658986175115208,0.0233502538071066,0.13888888888888887,0.3595505617977528,0.19999999999999998,0.4
0.1889400921658986,0.021319796954314723,0.16666666666666666,0.4157303370786517,0.4666666666666666,0.33333333333333337
0.17972350230414746,0.021319796954314723,0.16666666666666666,0.37078651685393255,0.39999999999999997,0.4
0.1889400921658986,0.021319796954314723,0.19444444444444442,0.19101123595505617,0.39999999999999997,0.2
0.17511520737327188,0.018274111675126905,0.16666666666666666,0.32584269662921345,0.19999999999999998,0.33333333333333337
0.15668202764976957,0.017258883248730966,0.2222222222222222,0.32584269662921345,0.39999999999999997,0.4666666666666667
0.2119815668202765,0.025380710659898477,0.125,0.46067415730337075,0.5333333333333333,0.33333333333333337
0.24423963133640553,0.027411167512690356,0.15277777777777776,0.37078651685393255,0.6,0.33333333333333337
